image,status,class,confidence,reason
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,detected,vehicle,0.5989,Normal confidence
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,detected,license-plate,0.9214,Normal confidence
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,detected,license-plate,0.8477,Normal confidence
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,detected,vehicle,0.7117,Normal confidence
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,detected,vehicle,0.6518,Normal confidence
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,detected,vehicle,0.6421,Normal confidence
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,detected,vehicle,0.5293,Normal confidence
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,weak,vehicle,0.2874,Low confidence
b91c3aaba25bf914_jpg.rf.1f03184f0c412a59b83c4099861cedcf.jpg,detected,vehicle,0.9359,Normal confidence
b91c3aaba25bf914_jpg.rf.1f03184f0c412a59b83c4099861cedcf.jpg,detected,license-plate,0.6213,Normal confidence
b94993a2d67b455e_jpg.rf.62712d980344cb842644f82e63b13092.jpg,detected,vehicle,0.9357,Normal confidence
b94993a2d67b455e_jpg.rf.62712d980344cb842644f82e63b13092.jpg,detected,license-plate,0.9355,Normal confidence
b94993a2d67b455e_jpg.rf.62712d980344cb842644f82e63b13092.jpg,detected,vehicle,0.721,Normal confidence
b9f5b9acf1777acf_jpg.rf.b92969d5c3738ece6a84dcd2d0ea3ce0.jpg,detected,vehicle,0.9688,Normal confidence
b9f5b9acf1777acf_jpg.rf.b92969d5c3738ece6a84dcd2d0ea3ce0.jpg,detected,license-plate,0.9382,Normal confidence
b9f5b9acf1777acf_jpg.rf.b92969d5c3738ece6a84dcd2d0ea3ce0.jpg,weak,vehicle,0.4033,Low confidence
b9f5b9acf1777acf_jpg.rf.b92969d5c3738ece6a84dcd2d0ea3ce0.jpg,weak,vehicle,0.3095,Low confidence
bbcac63e32bd8137_jpg.rf.ef4704b0ada4fbbf613143abf52f6f86.jpg,detected,license-plate,0.9711,Normal confidence
bbcac63e32bd8137_jpg.rf.ef4704b0ada4fbbf613143abf52f6f86.jpg,detected,vehicle,0.9639,Normal confidence
bd12ea92bcab1afd_jpg.rf.fe51aa4c3da615ae6656ea88fc7250e3.jpg,detected,vehicle,0.9676,Normal confidence
bd12ea92bcab1afd_jpg.rf.fe51aa4c3da615ae6656ea88fc7250e3.jpg,weak,license-plate,0.4988,Low confidence
bd12ea92bcab1afd_jpg.rf.fe51aa4c3da615ae6656ea88fc7250e3.jpg,weak,vehicle,0.4428,Low confidence
be654a7eabe0e891_jpg.rf.5e43d4106641423a278d096d24822902.jpg,detected,vehicle,0.9287,Normal confidence
be654a7eabe0e891_jpg.rf.5e43d4106641423a278d096d24822902.jpg,detected,license-plate,0.7659,Normal confidence
be9fd0014b5a4f2a_jpg.rf.20dc7369d0a83ad74a123727228dce11.jpg,detected,vehicle,0.9607,Normal confidence
be9fd0014b5a4f2a_jpg.rf.20dc7369d0a83ad74a123727228dce11.jpg,detected,license-plate,0.9574,Normal confidence
bf0aac0878b0a3d2_jpg.rf.43ce523ba85e649db07055557d72cc9e.jpg,detected,vehicle,0.9056,Normal confidence
bf0aac0878b0a3d2_jpg.rf.43ce523ba85e649db07055557d72cc9e.jpg,detected,license-plate,0.68,Normal confidence
bf2f25f3ed9ff4d5_jpg.rf.e9d07ec8b85372d40366bc2770b7d537.jpg,detected,vehicle,0.9331,Normal confidence
bf2f25f3ed9ff4d5_jpg.rf.e9d07ec8b85372d40366bc2770b7d537.jpg,detected,license-plate,0.8259,Normal confidence
c1d8b110186e095a_jpg.rf.1515701021c709417f9e92537a1d3714.jpg,detected,vehicle,0.9489,Normal confidence
c1d8b110186e095a_jpg.rf.1515701021c709417f9e92537a1d3714.jpg,detected,license-plate,0.9249,Normal confidence
c1d8b110186e095a_jpg.rf.1515701021c709417f9e92537a1d3714.jpg,weak,vehicle,0.3425,Low confidence
c274e026ac907eb9_jpg.rf.2388de7229ba0dd3051326f64c1a770b.jpg,detected,vehicle,0.9898,Normal confidence
c274e026ac907eb9_jpg.rf.2388de7229ba0dd3051326f64c1a770b.jpg,detected,license-plate,0.6725,Normal confidence
c274e026ac907eb9_jpg.rf.2388de7229ba0dd3051326f64c1a770b.jpg,weak,vehicle,0.3726,Low confidence
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,detected,vehicle,0.9726,Normal confidence
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,detected,license-plate,0.9709,Normal confidence
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,detected,license-plate,0.9317,Normal confidence
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,detected,vehicle,0.8938,Normal confidence
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,detected,vehicle,0.8282,Normal confidence
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,weak,vehicle,0.4627,Low confidence
c7df5232291486a3_jpg.rf.d18b52a383576cfe6c4ec343fca07a80.jpg,detected,vehicle,0.9533,Normal confidence
c7df5232291486a3_jpg.rf.d18b52a383576cfe6c4ec343fca07a80.jpg,detected,license-plate,0.8174,Normal confidence
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,detected,vehicle,0.9632,Normal confidence
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,detected,license-plate,0.9506,Normal confidence
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,detected,vehicle,0.6828,Normal confidence
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,detected,vehicle,0.9694,Normal confidence
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,detected,license-plate,0.9501,Normal confidence
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,detected,license-plate,0.5662,Normal confidence
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,weak,vehicle,0.4645,Low confidence
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,weak,vehicle,0.4358,Low confidence
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,weak,license-plate,0.2679,Low confidence
cb8c75fc1c7ccf73_jpg.rf.a6d315cf4a3ef0824075df8c8561838b.jpg,detected,vehicle,0.9641,Normal confidence
cb8c75fc1c7ccf73_jpg.rf.a6d315cf4a3ef0824075df8c8561838b.jpg,detected,license-plate,0.559,Normal confidence
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,detected,license-plate,0.9794,Normal confidence
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,detected,vehicle,0.9316,Normal confidence
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,detected,vehicle,0.7328,Normal confidence
cdb1e8621d1c624e_jpg.rf.b744b93a7af0771f1e5cb955155c8451.jpg,detected,vehicle,0.9264,Normal confidence
cdb1e8621d1c624e_jpg.rf.b744b93a7af0771f1e5cb955155c8451.jpg,detected,license-plate,0.92,Normal confidence
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,detected,vehicle,0.9872,Normal confidence
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,detected,vehicle,0.8244,Normal confidence
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,detected,vehicle,0.8166,Normal confidence
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,detected,license-plate,0.6515,Normal confidence
d027c6e32db60e3c_jpg.rf.15a865d02f390ef84fca8e053946db31.jpg,detected,license-plate,0.9887,Normal confidence
d027c6e32db60e3c_jpg.rf.15a865d02f390ef84fca8e053946db31.jpg,detected,vehicle,0.8932,Normal confidence
d27e094e98374ff8_jpg.rf.a0e0eba539117b97eb6433295c4cfb44.jpg,detected,license-plate,0.9538,Normal confidence
d27e094e98374ff8_jpg.rf.a0e0eba539117b97eb6433295c4cfb44.jpg,detected,vehicle,0.9411,Normal confidence
d27e094e98374ff8_jpg.rf.a0e0eba539117b97eb6433295c4cfb44.jpg,detected,vehicle,0.7801,Normal confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,detected,vehicle,0.9574,Normal confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,detected,vehicle,0.9101,Normal confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,detected,license-plate,0.9024,Normal confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,detected,license-plate,0.8216,Normal confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,detected,vehicle,0.8007,Normal confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,detected,vehicle,0.5934,Normal confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,detected,vehicle,0.5245,Normal confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,weak,vehicle,0.4946,Low confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,weak,vehicle,0.4638,Low confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,weak,vehicle,0.4628,Low confidence
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,weak,vehicle,0.3945,Low confidence
d2fe2b47668e9d8e_jpg.rf.c3c019d146ec1fc0bcf7fbeb12c7bc7f.jpg,detected,license-plate,0.9635,Normal confidence
d2fe2b47668e9d8e_jpg.rf.c3c019d146ec1fc0bcf7fbeb12c7bc7f.jpg,detected,vehicle,0.8803,Normal confidence
d2fe2b47668e9d8e_jpg.rf.c3c019d146ec1fc0bcf7fbeb12c7bc7f.jpg,weak,vehicle,0.2736,Low confidence
